ID,Rank,Name,Name2,Tnstagram,Textcolor,Country,Location,Federation,Date,Country2,Region,Fed-version,Sex,Equiptment,Age,Age_Class,Weight,Weight_Class,Squat,Bench,Deadlift,Total,Dots
0,1,Kristy Hawkins,kristyhawkins,kristy_hawkins,green,USA,USA-CA,WRPF,2022-12-04,USA,CA,wrpf-usa/2247,F,Raw,42,Open,73.6,75,265,150,272.5,687.5,676.36
1,2,John Haack,johnhaack,bilbo_swaggins181,,USA,USA-CA,WRPF,2022-07-29,USA,VA,wrpf-usa/2224,M,Raw,29,Open,89.9,90,345,267.5,410,1022.5,661.52
2,3,Marianna Gasparyan,mariannagasparyan,power_mayan,,,,USPA,2019-08-03,USA,TX,uspa/1539,F,Raw,30,Open,57.7,60,230,132.5,217.5,580,659.24
3,4,Chakera Ingram,chakeraingram,c.c_ingram,,USA,USA-TX,USPA,2018-06-02,USA,TX,uspa/1143,F,Raw,23,Juniors 20-23,81.5,82.5,245,165,282.5,692.5,646.55
4,5,Samantha Rice,samantharice,quadslikemom,,USA,USA-TX,USA-UA,2023-04-08,USA,TX,usa-ua/2301,F,Raw,32,Open,84.4,90,267.5,155,280,702.5,644.77
5,6,Hunter Henderson #1,hunterhenderson1,huntermhenderson,,USA,,WRPF,2023-02-18,USA,FL,wrpf-usa/2306,F,Raw,28,Pro Open,81.4,82.5,267.5,152.5,250,670,625.92
6,7,Jamal Browner,jamalbrowner,jamal_b15,,USA,USA-TX,USPA,2022-09-24,USA,MO,uspa/2022-163,M,Raw,27,Open,109.4,110,370,227.5,455,1052.5,624.65
7,8,Raymond Phillips,raymondphillips,rayphillips1828,,USA,USA-NJ,RPS,2024-01-27,USA,NJ,rps/2407,M,Raw,38,Pro Open,63.6,67.5,276.6,163.2,331.1,771.1,620.75
8,9,Blake Lehew,blakelehew,deadliftingorangutan,,USA,USA-TX,USA-UA,2023-04-08,USA,TX,usa-ua/2301,M,Raw,27,Open,82.3,82.5,320,220,375,915,620.67
9,10,Jawon Garrison,jawongarrison,majin_avenger2.0,red,USA,USA-AL,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,M,Raw,35,Open,82.5,82.5,353,230,332.5,915.5,620.15
